Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,121,333,4,2,235,137,58.75,137,137,34.25,475,207,118.75,No
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,215,436,5,2,340,252,68.00,244,252,48.80,476,207,95.20,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,950,1466,15,3,1246,545,83.07,1026,545,68.40,654,207,43.60,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,78,150,4,3,121,81,30.25,92,81,23.00,461,207,115.25,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,170,210,5,2,195,168,39.00,180,168,36.00,439,207,87.80,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,441,795,10,3,633,487,63.30,471,487,47.10,607,207,60.70,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,185,216,6,3,210,124,35.00,204,124,34.00,539,207,89.83,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,516,691,8,3,621,536,77.63,551,536,68.88,604,207,75.50,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,132,187,6,3,168,133,28.00,149,133,24.83,593,207,98.83,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,152,171,4,3,164,151,41.00,157,151,39.25,473,207,118.25,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,124,147,2,1,147,147,73.50,147,147,73.50,263,207,131.50,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,123,401,6,3,269,126,44.83,137,126,22.83,463,207,77.17,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,241,289,5,3,280,249,56.00,271,249,54.20,468,207,93.60,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,495,1532,10,3,1040,410,104.00,548,410,54.80,655,207,65.50,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,694,1134,6,2,931,714,155.17,728,714,121.33,213,93,35.50,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,174,219,5,2,212,204,42.40,205,204,41.00,534,207,106.80,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,42,56,3,2,53,50,17.67,50,50,16.67,434,207,144.67,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,148,229,6,3,207,184,34.50,185,184,30.83,549,207,91.50,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,55,71,4,3,66,61,16.50,61,61,15.25,451,207,112.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,139,263,9,3,210,167,23.33,157,167,17.44,638,207,70.89,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,71,103,5,3,92,80,18.40,81,80,16.20,560,207,112.00,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,71,182,4,2,133,83,33.25,84,83,21.00,527,207,131.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,674,2162,13,3,1462,547,112.46,762,547,58.62,672,207,51.69,Yes
