Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Aggregation.java,101,140,2,1,133,116,66.50,126,116,63.00,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/BetweenPredicate.java,55,65,1,1,65,65,65.00,65,65,65.00,9,9,9.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/BinaryOperator.java,46,71,3,1,63,55,21.00,55,55,18.33,1276,1118,425.33,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CaseWhenPredicate.java,72,107,2,1,98,88,49.00,89,88,44.50,1246,1118,623.00,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CastExpr.java,38,44,1,1,44,44,44.00,44,44,44.00,21,21,21.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/ColumnReferenceExpr.java,56,113,4,1,90,49,22.50,67,49,16.75,1285,1118,321.25,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java,19,21,1,1,21,21,21.00,21,21,21.00,128,128,128.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CreateTable.java,262,423,4,1,376,170,94.00,329,170,82.25,1270,1118,317.50,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/DataType.java,56,68,1,1,68,68,68.00,68,68,68.00,21,21,21.00,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/DropTable.java,36,55,2,1,48,34,24.00,41,34,20.50,136,128,68.00,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/ExistsPredicate.java,38,44,1,1,44,44,44.00,44,44,44.00,30,30,30.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Expr.java,96,132,2,1,124,98,62.00,116,98,58.00,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/ExprVisitor.java,17,19,1,1,19,19,19.00,19,19,19.00,128,128,128.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/FunctionExpr.java,63,79,3,1,77,45,25.67,75,45,25.00,1254,1118,418.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/GeneralSetFunctionExpr.java,24,34,2,1,31,21,15.50,28,21,14.00,136,128,68.00,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Having.java,47,56,1,1,56,56,56.00,56,56,56.00,128,128,128.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/InPredicate.java,34,8,1,1,7,7,7.00,6,6,6.00,14,14,14.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Insert.java,99,124,1,1,124,124,124.00,124,124,124.00,64,64,64.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/IsNullPredicate.java,38,12,1,1,6,6,6.00,0,0,0,5,5,5.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Join.java,77,126,2,1,110,82,55.00,94,82,47.00,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/JoinType.java,30,36,2,1,34,28,17.00,32,28,16.00,1135,1118,567.50,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/JsonHelper.java,46,59,2,1,58,57,29.00,57,57,28.50,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/JsonSerializable.java,21,23,1,1,23,23,23.00,23,23,23.00,1118,1118,1118.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Limit.java,41,61,2,1,55,49,27.50,49,49,24.50,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/LiteralValue.java,46,70,3,1,62,53,20.67,54,53,18.00,1276,1118,425.33,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/NotExpr.java,28,0,0,0,0,0,0,0,0,0,0,0,0,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/NullValue.java,27,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/OpType.java,109,174,10,1,152,99,15.20,130,99,13.00,1447,1118,144.70,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/PatternMatchPredicate.java,59,69,1,1,69,69,69.00,69,69,69.00,24,24,24.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Projection.java,59,88,2,1,80,68,40.00,72,68,36.00,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Relation.java,61,88,2,1,81,70,40.50,74,70,37.00,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/RelationList.java,52,66,2,1,64,62,32.00,62,62,31.00,158,128,79.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/ScalarSubQuery.java,36,44,2,1,43,41,21.50,42,41,21.00,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Selection.java,47,74,2,1,65,57,32.50,56,57,28.00,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/SetOperation.java,39,55,2,1,51,46,25.50,47,46,23.50,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/SimpleTableSubQuery.java,35,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Sort.java,88,129,2,1,117,103,58.50,105,103,52.50,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/TablePrimarySubQuery.java,45,62,3,1,58,41,19.33,54,41,18.00,1276,1118,425.33,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/Target.java,55,83,3,1,75,61,25.00,67,61,22.33,1276,1118,425.33,Yes
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/UnaryOperator.java,33,41,2,1,40,35,20.00,39,35,19.50,1246,1118,623.00,No
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/ValueListExpr.java,34,0,0,0,0,0,0,0,0,0,0,0,0,No
1,tajo-algebra/src/test/java/org/apache/tajo/algebra/AlgebraTestingUtil.java,28,31,1,1,31,31,31.00,31,31,31.00,1118,1118,1118.00,No
1,tajo-algebra/src/test/java/org/apache/tajo/algebra/TestExpr.java,107,228,2,1,186,142,93.00,144,142,72.00,1246,1118,623.00,No
1,tajo-catalog/tajo-catalog-client/src/main/java/org/apache/tajo/catalog/AbstractCatalogClient.java,337,568,4,1,467,261,116.75,366,261,91.50,1304,1118,326.00,Yes
1,tajo-catalog/tajo-catalog-client/src/main/java/org/apache/tajo/catalog/CatalogClient.java,45,130,5,1,91,68,18.20,52,68,10.40,1286,1118,257.20,No
1,tajo-catalog/tajo-catalog-client/src/main/java/org/apache/tajo/catalog/CatalogService.java,69,124,4,1,108,96,27.00,92,96,23.00,1347,1118,336.75,Yes
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/AlreadyRegisteredURIException.java,34,40,1,1,40,40,40.00,40,40,40.00,1118,1118,1118.00,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/AttributeType.java,23,25,1,1,25,25,25.00,25,25,25.00,1118,1118,1118.00,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogConstants.java,34,62,5,3,51,30,10.20,40,30,8.00,1199,1118,239.80,Yes
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogUtil.java,139,311,7,3,235,181,33.57,159,181,22.71,1494,1118,213.43,Yes
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/Column.java,149,366,6,2,265,187,44.17,164,187,27.33,1475,1118,245.83,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/DDLBuilder.java,77,92,2,1,91,90,45.50,90,90,45.00,128,122,64.00,Yes
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/FunctionDesc.java,138,456,4,1,305,274,76.25,154,274,38.50,1395,1118,348.75,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/IndexDesc.java,135,428,2,1,284,265,142.00,140,265,70.00,1244,1118,622.00,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/Options.java,140,312,6,2,230,180,38.33,148,180,24.67,1397,1118,232.83,Yes
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/Schema.java,241,544,10,2,405,253,40.50,266,253,26.60,1674,1118,167.40,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/SchemaObject.java,21,23,1,1,23,23,23.00,23,23,23.00,1118,1118,1118.00,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/SortSpec.java,97,142,3,1,129,86,43.00,116,86,38.67,1273,1118,424.33,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/TableDesc.java,152,207,5,1,184,134,36.80,161,118,32.20,1497,1118,299.40,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/TableMeta.java,184,270,7,3,235,167,33.57,200,142,28.57,1397,1118,199.57,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/TableUtil.java,45,55,2,1,53,51,26.50,51,51,25.50,1240,1118,620.00,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/exception/AlreadyExistsFieldException.java,26,30,1,1,30,30,30.00,30,30,30.00,1118,1118,1118.00,Yes
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/exception/AlreadyExistsFunctionException.java,24,27,1,1,27,27,27.00,27,27,27.00,1118,1118,1118.00,Yes
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/exception/AlreadyExistsIndexException.java,45,51,1,1,51,51,51.00,51,51,51.00,1118,1118,1118.00,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/exception/AlreadyExistsTableException.java,26,31,1,1,31,31,31.00,31,31,31.00,1118,1118,1118.00,No
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/exception/CatalogException.java,45,51,1,1,51,51,51.00,51,51,51.00,1118,1118,1118.00,Yes
